"filename", "language", "JavaScript", "TypeScript", "HTML", "JSON with Comments", "Markdown", "JSON", "SCSS", "CSS", "Vue", "XML", "comment", "blank", "total"
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Mine\header\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 2, 86
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Mine\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Mine\order\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 59
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Mine\personage\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 1, 147
"c:\Users\yzc\Desktop\showTheVibe\src\pages\NoteDetail\comment\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 306, 0, 0, 7, 313
"c:\Users\yzc\Desktop\showTheVibe\src\pages\NoteDetail\content\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 3, 53
"c:\Users\yzc\Desktop\showTheVibe\src\pages\NoteDetail\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 3, 60
"c:\Users\yzc\Desktop\showTheVibe\src\pages\NoteDetail\praise\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 3, 74
"c:\Users\yzc\Desktop\showTheVibe\src\pages\NoteDetail\publisher\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 4, 95
"c:\Users\yzc\Desktop\showTheVibe\src\pages\NoteDetail\tabbar\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 6, 83
"c:\Users\yzc\Desktop\showTheVibe\src\pages\OrderDetail\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 5, 218
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Order\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Order\list\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 273, 0, 0, 7, 280
